"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","CEREAL OATS QUICK COOK QUAKER","G423","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7435.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G423","QUAKER","","","","","","","{}"
"","CEREAL QUAKER OLD FASH.OATS","G430","","12/42 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g430.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G430","QUAKER","","","","","","","{}"
"","CRUMBS CORNFLAKES KELLOGG'S","G7605","","12/21 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7605.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G7605","KELLOGG'S","","","","","","","{}"
"","CEREAL QUICK ROLL OATS GRAIN","G4230","","1/50 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4230.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G4230","GRAIN MILLER","","","","","","","{}"
"","CEREAL CORN FLAKES","21784","","6/18 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/21784.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-21784","KELLOGG'S","","","","","","","{}"
"","CEREAL CREAM OF WHEAT QCK 2.5M","G429","","12/28 OZ.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g429.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G429","NABISCO","","","","","","","{}"
"","CEREAL QUICK ROLLED OATS HEARTY TRADITIO","G4232","","12/42 OZ.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7436.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G4232","MALT O MEAL","","","","","","","{}"
"","CEREAL ASSORTED KELLOGGS","G424","","72/1.02 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g424.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G424","KELLOGG'S","","","","","","","{}"
"","CEREAL CORN FLAKES BOX","G427","","70/.81 OZ.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g427.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G427","KELLOGG'S","","","","","","","{}"
"","CEREAL FROSTED FLAKES PORT PK","G6382","","96/1 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6382.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cereal/IFS-G6382","KELLOGG'S","","","","","","","{}"
