"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","CHIPS CHEETOS HOT","G8077","","64/2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7672.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-G8077","CHEETOS","","","","","","","{}"
"","CHIPS POTATO BACKYARD BBQ","G5077","","24/2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7498.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-G5077","KETTLE","","","","","","","{}"
"","CHIPS POTATO KETTLE JALAPENO","10660","","24/2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10660.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-10660","KETTLE","","","","","","","{}"
"","CHIPS POTATO SEA SALT","G5082","","24/2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5082.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-G5082","KETTLE","","","","","","","{}"
"","CHIPS TOSTIOS SALSA VERDE","G7710","","28/2.375 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7710.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-G7710","TOSTITOS","","","","","","","{}"
"","CHIPS POTATO HONEY DIJON","G5076","","24/2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7497.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-G5076","KETTLE","","","","","","","{}"
"","CHIPS POTATO VINEGAR & SEA SALT","G5092","","24/2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5092.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-G5092","KETTLE","","","","","","","{}"
"","CHIPS JALAPENO KETTLE 1.5 OZ","23565","","24/1.5 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/23565.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-23565","KETTLE","","","","","","","{}"
"","CHIPS POTATO KRINKLE SALT & PEPPER","G5073","","24/2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5073.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-G5073","KETTLE","","","","","","","{}"
"","CHIPS POTATO SEA SALT","13011","","72/1 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-13011","KETTLE","","","","","","","{}"
"","CHIPS POTATO KRINKLE SALT & PEPPER","11977","","12/8.5 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-11977","KETTLE","","","","","","","{}"
"","CHIPS SEA SALT KETTLE 1.5OZ","23566","","24/1.5 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-23566","KETTLE","","","","","","","{}"
"","CHIPS BACKYARD BBQ 1.5 OZ","23564","","24/1.5 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-23564","KETTLE","","","","","","","{}"
"","CHIPS SEA SALT & VINEGAR 1.5 OZ KETTLE","23568","","24/1.5 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-23568","KETTLE","","","","","","","{}"
"","CHIPS MESQUITE BBQ DIRTY CHIPS","23643","","25/2 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-23643","DIRTY CHIPS","","","","","","","{}"
"","CHIPS SEA SALT DIRTY CHIPS","23645","","25/2 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-23645","DIRTY CHIPS","","","","","","","{}"
"","CHIPS CRACKED PEPPER & SEA SALT DIRTY CH","23644","","25/2 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Chips/IFS-23644","DIRTY CHIPS","","","","","","","{}"
