"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","COOKIES LADY FINGERS 300CT","G71104","","1/300 ct","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7615.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-G71104","ROLAND","","","","","","","{}"
"","COOKIES CHOCOLATE CHIP SOFT BAKED MINI","23353","","28/1.5 OZ","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-23353","PILLSBURY","","","","","","","{}"
"","COOKIES VANILLA WAFER","24121","","2/2#","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-24121","NABISCO","","","","","","","{}"
"","COOKIE FORTUNE GIANT","17043","","1/12 COUNT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/4509.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-17043","PACKER","","","","","","","{}"
"","COOKIE LADY FINGERS LARGE","14104","","15/400 GRM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/14104.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-14104","MARINI","","","","","","","{}"
"","COOKIES LORNA DOONE SHORTBREAD","G7682","","120/1 OZ.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7682.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-G7682","NABISCO","","","","","","","{}"
"","COOKIES OATMEAL HOMESTYLE","18447","","1/10#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/5125.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-18447","KEEBLER","","","","","","","{}"
"","COOKIES OATMEAL RAISIN SOFT CHEWY","G76883","","216/.75oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g76883.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-G76883","MRS FIELDS","","","","","","","{}"
"","COOKIES OREO","G7686","","2/120CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7686.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-G7686","OREO","","","","","","","{}"
"","COOKIES SUGAR FREE CREME KEEBLER","G8196","","120/3ct","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8196.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-G8196","KEEBLER","","","","","","","{}"
"","BREADSTICKS THIN GRISSINI ITALIAN","28834","","4CT/360","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-28834","PANEALBA","","","","","","","{}"
"","COOKIES OATMEAL","25055","","1/10#","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-25055","KEEBLER","","","","","","","{}"
"","CRACKERS COOKIE ANIMAL KEEBLER","26291","","150/1 OZ","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Cookies/IFS-26291","KEEBLER","","","","","","","{}"
