"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","CRACKERS OYSTER PREMIUM","G30735","","150/1/2 oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g30735.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G30735","WESTMINSTER","","","","","","","{}"
"","CRACKERS SALTINE 500/2CT","G752","","500/2 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7641.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G752","ZESTA","","","","","","","{}"
"","NOODLE FRIED CRISPY WONTON CHIP","G6050","","1/10lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7578.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G6050","PEKING","","","","","","","{}"
"","CRUMBS GRAHAM CRACKER","G5121","","2/5 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5121.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G5121","NABISCO","","","","","","","{}"
"","CRACKERS GRAHAMS HONEY","G7700","","200/2 CT.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7700.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G7700","KEEBLER","","","","","","","{}"
"","POPCORN YELLOW","G4559","","1/35lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4559.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G4559","ORVILLE REDBR","","","","","","","{}"
"","SEAWEED ROASTED SHEETS NORI","G100","","10/50ct","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g100.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G100","PACKER","","","","","","","{}"
"","ONION FRIED CRISPY","28342","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/28342.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-28342","TOP TASTE","","","","","","","{}"
"","CRACKERS SALADITAS","G7544","","12/18.6 OZ (48/CT)","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7544.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G7544","GAMESA","","","","","","","{}"
"","CRACKERS MELBA TOAST WHT","G763","","320/2 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7651.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G763","OLD LONDON","","","","","","","{}"
"","CRACKERS MATZO","G47802","","12/10 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G47802","STREIT'S","","","","","","","{}"
"","CORN NUTS CHIPOTLE LIME NON GMO","9631","","1/25 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/9631.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-9631","CORN NUTS","","","","","","","{}"
"","CRACKER ANIMAL KEEBLER","11382","","16/10 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11382.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-11382","KEEBLER","","","","","","","{}"
"","CRACKER SALTINE WESTMINSTER 2PK/500","18725","","2PK/500CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/2149.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-18725","WESTMINSTER","","","","","","","{}"
"","CRACKERS ASSORTED 2CT AMERICAN FAVORITES","G7549","","500/.23 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7549.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Crackers/IFS-G7549","NABISCO","","","","","","","{}"
