"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","BOBA TAPIOCA BEADS 6/6LB BAGS","G9000","","6/6LB/CASE","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G9000","TEAZONE","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9000.jpg""}"
"","MIX FLAN CUSTARD","G4927","","12/15.2 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G4927","ROYAL","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4927.jpg""}"
"","PUDDING VANILLA INSTANT","G49925","","6/28 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G49925","ROYAL","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g49925.jpg""}"
"","GELATIN ASSORTED RED LANGLOIS","G990","","12/24 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G990","","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7730.jpg""}"
"","GELATIN CLEAR PLAIN DRY GRANULES","G9913","","12/16 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G9913","","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9913.jpg""}"
"","MIX CREPE FRENCH STYLE","18056","","1/50#","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-18056","","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/4871.jpg""}"
"","MIX BROWNIE CHOCOLATE","G8418","","6/6 LB","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G8418","GOLD MEDAL","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8418.jpg""}"
"","MIX CAKE YELLOW LAYER MOIST DLX","G4226","","12/15.25 oz","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G4226","DUNCAN HINES","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4226.jpg""}"
"","MIX FLAN CREME CARAMEL KNORR","G5771","","6/8 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G5771","KNORR","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5771.jpg""}"
"","FILLING PIE APPLE","G843","","6/#10 CAN","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G843","KNOUSE","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7683.jpg""}"
"","FILLING PIE CHERRY","G8436","","6/#10 CAN","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G8436","SECURITY","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8436.jpg""}"
"","FROSTING CLASSIC CHOCOLATE","G4879","","8/16 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G4879","DUNCAN HINES","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4879.jpg""}"
"","PUDDING & PIE FILL VANILLA INSTANT","G9936","","12/24 OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G9936","LE GOUT","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9936.jpg""}"
"","PUDDING TAPIOCA","G4991","","12/24oz","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Dessert-Mixes-And-Fillings/IFS-G4991","","","","","","","","{""images"":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4991.jpg""}"
