"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","HONEY PACKET","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g148.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G148","HEINZ","","","","","","","{""item-num-sku"":""G148"",""item-num-sku 3"":""200/9 GRAM""}"
"","JELLY STRAWBERRY PC SMUCKER","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7243.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G1251","SMUCKER'S","","","","","","","{""item-num-sku"":""G1251"",""item-num-sku 3"":""200/1/2OZ""}"
"","HONEY LIGHT WILDFLOWER EZ POUR","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g991.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G991","MILLER'S HONEY","","","","","","","{""item-num-sku"":""G991"",""item-num-sku 3"":null}"
"","HONEY PC CUP PLASTIC","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g132.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G132","SMUCKER'S","","","","","","","{""item-num-sku"":""G132"",""item-num-sku 3"":""200/1/2OZ""}"
"","JAM BLACKBERRY PC SDLS","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g1698.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G1698","SMUCKER'S","","","","","","","{""item-num-sku"":""G1698"",""item-num-sku 3"":""200/.5 OZ""}"
"","JELLY GRAPE SMUCKERS 200CT","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6643.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G6643","SMUCKER'S","","","","","","","{""item-num-sku"":""G6643"",""item-num-sku 3"":""200/1/2OZ""}"
"","JELLY ORANGE MARMALADE SMUCKER PC","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7591.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G6647","SMUCKER'S","","","","","","","{""item-num-sku"":""G6647"",""item-num-sku 3"":""200/.5 oz""}"
"","HONEY BEAR 12OZ","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g99110.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G99110","HONEY BEAR","","","","","","","{""item-num-sku"":""G99110"",""item-num-sku 3"":""12/12 OZ.""}"
"","PRESERVES RED RASPBERRY POLANER","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/1519.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-16552","POLANER","","","","","","","{""item-num-sku"":""16552"",""item-num-sku 3"":""6/10 CAN""}"
"","HONEY LIGHT CLOVER JUG","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4272.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G4272","BUSY BEE","","","","","","","{""item-num-sku"":""G4272"",""item-num-sku 3"":null}"
"","HONEY PACKET","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/20702.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-20702","KRAFT","","","","","","","{""item-num-sku"":""20702"",""item-num-sku 3"":""200/9 GRAM""}"
"","PRESERVES STRAWBERRY","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g893.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G893","LYONS","","","","","","","{""item-num-sku"":""G893"",""item-num-sku 3"":""6/#10""}"
"","HONEY LIGHT WILDFLOWER 60LB","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11034.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-11034","FELICITY","","","","","","","{""item-num-sku"":""11034"",""item-num-sku 3"":""1/60 LB""}"
"","HONEY ORANGE BLOSSOM 06005","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9911.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G9911","NAT AMERICAN","","","","","","","{""item-num-sku"":""G9911"",""item-num-sku 3"":null}"
"","HONEY EXTRA LIGHT CLOVER BLOSSOM","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9033.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G9033","MILLER'S HONEY","","","","","","","{""item-num-sku"":""G9033"",""item-num-sku 3"":null}"
"","JELLY APPLE BUTTER PLAST","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7245.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G1267","SMUCKER'S","","","","","","","{""item-num-sku"":""G1267"",""item-num-sku 3"":""200/.5oz""}"
"","SAUCE CHUTNEY MANGO MAJOR GREY","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70270.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G70270","ROLAND","","","","","","","{""item-num-sku"":""G70270"",""item-num-sku 3"":""12/32oz""}"
"","HONEY PURE PORTION GLASS","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g1321.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G1321","DICKINSON'S","","","","","","","{""item-num-sku"":""G1321"",""item-num-sku 3"":""72/1.1 OZ""}"
"","JELLY ASSORTED #4(STR,GRA,MXD)","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g129.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G129","SMUCKER'S","","","","","","","{""item-num-sku"":""G129"",""item-num-sku 3"":""200/1/2 OZ""}"
"","JELLY ORANGE MARMALADE","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g1263.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G1263","STRATFORD","","","","","","","{""item-num-sku"":""G1263"",""item-num-sku 3"":""6/#10 CAN""}"
"","HONEY LIGHT WILDFLOWER 5LB","","","","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-11032","FELICITY","","","","","","","{""item-num-sku"":""11032"",""item-num-sku 3"":null}"
"","PRESERVES STRAWBERRY FANCY","","","","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-23126","","","","","","","","{""item-num-sku"":""23126"",""item-num-sku 3"":""6/8.25 LB CAN""}"
"","JELLY STRAWBERRY CUPS PC","","","","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-22932","HEINZ","","","","","","","{""item-num-sku"":""22932"",""item-num-sku 3"":""1/200 CT""}"
"","JELLY GRAPE SMUCKERS 400CT","","","","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-24298","SMUCKER'S","","","","","","","{""item-num-sku"":""24298"",""item-num-sku 3"":""400/.50 OZ""}"
"","HONEY LIGHT WILDFLOWER 60LB","","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7731.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Jams-And-Jellies/IFS-G9910","MILLER'S HONEY","","","","","","","{""item-num-sku"":""G9910"",""item-num-sku 3"":""1/60LBS""}"
