"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","PASTA COSTA ELBOW SMALL","G4200","","2/10 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7432.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G4200","COSTA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA COSTA LASAGNA 20""","G408","","1/10 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g408.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G408","COSTA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA COSTA NOODLES EGG EXTRA FINE","G4195","","1/10 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7431.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G4195","COSTA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA COSTA PENNE RIGATI","G4033","","1/20 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7411.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G4033","COSTA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA COSTA SPAGHETTI 20""","G4015","","1/20 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7406.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G4015","COSTA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA BARILLA FETTUCCINE","G6035","","2/10#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7575.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G6035","BARILLA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA BARILLA PENNE RIGATE #72","G428079","","2/10#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g428079.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G428079","BARILLA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA COSTA BOWTIE","G4134","","1/20 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7427.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G4134","COSTA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA COSTA PENNINI 20LB","G4037","","1/20 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7412.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G4037","COSTA","","","","","","","{""Unnamed: 6"":null}"
"","PASTA COSTA ROTELLI RAINBOW","G411","","1/20 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g411.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Pasta/IFS-G411","COSTA","","","","","","","{""Unnamed: 6"":null}"
