"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","DRESSING RANCH MIX POWDER","G352","","18/3.2OZ. PKTS","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G352","HIDDEN VALLEY","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g352.jpg""}"
"","OIL SALAD SOYBEAN","18554","","1/35#","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-18554","PACKER","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/2130.jpg""}"
"","OIL SALAD SOYBEAN VEGETABLE","G3394","","1/35 LBS","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G3394","GOLDEN CHEF","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3394.jpg""}"
"","OIL SOYBEAN SALAD","G33954","","1/560 FLUID OZ","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G33954","GOLDEN DROP","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g33954.jpg""}"
"","OIL SOYBEAN VEGETABLE SALAD DESERT SUN","G3393","","1/560 FL","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G3393","DESERT SUN","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3393.jpg""}"
"","DRESSING BUTTERMILK RANCH","G3350","","4/1 GAL","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G3350","","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3350.jpg""}"
"","DRESSING BTRMLK RNCH PKTS 12GR","G160","","200/12 GRAM","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G160","PPI","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7257.jpg""}"
"","DRESSING RANCH CLASSIC","G35437","","4/1 GAL","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G35437","HELLMANN'S","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g35437.jpg""}"
"","DRESSING SALAD","G3368","","1/30 LBS CTN","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G3368","","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3368.jpg""}"
"","DRESSING RANCH","G3559","","","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G3559","KRAFT","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7388.jpg""}"
"","OIL SALAD SOYBEAN CARGILL MASTER CHEF","G3396","","1/35 LBS","","","","",,"","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Salad-Dressings/IFS-G3396","MASTER CHEF","","","","","","","{""image "":""https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3396.jpg""}"
