"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","SOUP BASE CHICKEN POWDER KNORR","G5541","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5541.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G5541","KNORR CALDO","","","","","","","{}"
"","SOUP BASE PASTE CHICKEN NO MSG","G560","","1/45 LBS TUB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g560.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G560","HEIDEN'S INC.","","","","","","","{}"
"","SOUP BASE CHICKEN PWDR NO MSG","G5535","","1/40# PAIL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5535.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G5535","FELBRO","","","","","","","{}"
"","SOUP BASE TOMATO KNORR POWDER","G5564","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5564.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G5564","KNORR","","","","","","","{}"
"","SHRIMP BOUILLON CALDO CAMARON","G3853","","4/4.4 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3853.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G3853","KNORR","","","","","","","{}"
"","SOUP BASE VEGETABLE NO MSG","G2488","","6/1.82 #","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2488.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G2488","KNORR","","","","","","","{}"
"","SOUP BASE BEEF CALDO RES","G9114","","4/4.4#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9114.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G9114","KNORR","","","","","","","{}"
"","SOUP CLAM CHOWDER NEW ENGLAND CONDENSED","G9201","","12/51oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9201.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G9201","LE GOUT","","","","","","","{}"
"","SOUP BASE BEEF PASTE NO MSG","G576","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g576.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G576","HEIDEN'S INC.","","","","","","","{}"
"","SOUP CLAM CHWDER CNDNSED NEW ENGLAND","G9633","","12/50 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9633.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G9633","CAMPBELL'S","","","","","","","{}"
"","SOUP TOMATO CONDENSED CAMPBELL'S","G9241","","12/50 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9241.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G9241","CAMPBELL'S","","","","","","","{}"
"","MIX AU JUS","G2472","","16/3.3 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2472.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G2472","LE GOUT","","","","","","","{}"
"","NOODLES RICE LA CHOY","G2595","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2595.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G2595","LA CHOY","","","","","","","{}"
"","SOUP CHICKEN BROTH SWANSON","G923","","12/49.5 oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g923.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Soups-And-Broths/IFS-G923","SWANSON","","","","","","","{}"
