"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","SYRUP BREAKFAST PC","G3916","","100/1.4 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3916.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G3916","SMUCKER'S","","","","","","","{}"
"","SYRUP MAPLE IMITATION CUPS 1.5 OZ","G110","","100/1.5 OZ CUPS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7234.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G110","MADEIRA","","","","","","","{}"
"","SYRUP MAPLE LOG CABIN ORIGINAL","G5404","","4/1 GAL.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5404.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G5404","LOG CABIN","","","","","","","{}"
"","CHOCOLATE CHIP SEMI SWEET1000 CT","G61125","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g61125.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G61125","HERSHEYS","","","","","","","{}"
"","SYRUP AGAVE ORGANIC ALL NATURAL","G7722","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7722.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G7722","NAT AMERICAN","","","","","","","{}"
"","SYRUP CORN FELBRO","G5018","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5018.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G5018","FELBRO","","","","","","","{}"
"","SYRUP CORN KARO RED LABEL LIGHT","G541","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g541.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G541","ACH","","","","","","","{}"
"","SYRUP MAPLE PANCAKE & WAFFLE","G542","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g542.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G542","","","","","","","","{}"
"","SYRUP VANILLA BLEND IMITATION","G5020","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5020.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G5020","MOLINA","","","","","","","{}"
"","SYRUP AGAVE BLUE RAW ORGANIC","G7721","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7655.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Toppings-And-Syrups/IFS-G7721","WHOLESOME","","","","","","","{}"
