"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","VINEGAR APPLE CIDER 40 GRAIN","G777","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g777.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G777","FOUR MONKS","","","","","","","{}"
"","VINEGAR RED WINE 50 GRAIN FOUR MONKS","G778","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g778.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G778","FOUR MONKS","","","","","","","{}"
"","VINEGAR WHITE DISTILLED 50 GRN","G776","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g776.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G776","golden state","","","","","","","{}"
"","VINEGAR WHITE DISTILLED 50 GRN","G7760","","4/1 GAL/CASE","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7760.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7760","FOUR MONKS","","","","","","","{}"
"","VINEGAR MALT PACKETS","15475","","200/9 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/1304.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-15475","HEINZ","","","","","","","{}"
"","VINEGAR RICE NATURAL","G7806","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7806.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7806","NAKANO","","","","","","","{}"
"","VINEGAR RICE SEASONED","G7804","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7804.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7804","NAKANO","","","","","","","{}"
"","VINEGAR RICE SEASONED GOURMET","G7759","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7759.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7759","MARUKAN","","","","","","","{}"
"","VINEGAR WHITE 100 GRAIN","G7761","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7761.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7761","golden state","","","","","","","{}"
"","VINEGAR WHITE 50 GRAIN DISTILLED","G7762","","6/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7762.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7762","HEINZ","","","","","","","{}"
"","VINEGAR BALSAMIC 3 LEAF 12 YEAR AGING","G7771","","2/5 LITER","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7771.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7771","ROLAND","","","","","","","{}"
"","VINEGAR BALSAMIC RED DEL DESTINO","G55290","","2/5 LITER","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g55290.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G55290","DEL DESTINO","","","","","","","{}"
"","VINEGAR CHAMPAGNE","G7751","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7751.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7751","SONOMA","","","","","","","{}"
"","VINEGAR WHITE WINE 50 GRAIN","G7780","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7661.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7780","FOUR MONKS","","","","","","","{}"
"","VINEGAR BALSAMIC 3 DIAMOND ITALIAN PREMI","G7768","","2/5 liter","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7768.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7768","DEL DESTINO","","","","","","","{}"
"","VINEGAR MALT HEINZ","G781","","12/12 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g781.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G781","HEINZ","","","","","","","{}"
"","VINEGAR RED WINE SONOMA","G7750","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7750.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7750","SONOMA","","","","","","","{}"
"","VINEGAR RICE SEASONED 5.28 GAL","12854","","1/5.28 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12854.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-12854","MIZKAN","","","","","","","{}"
"","VINEGAR RICE SEASONED SUSHI SU","G7811","","1/5.28 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7662.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7811","MARUKAN","","","","","","","{}"
"","VINEGAR BALSAMIC WHITE CONDIMENTO BIANCO","G70490","","2/5 LITER","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70490.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G70490","AMBROSIA","","","","","","","{}"
"","VINEGAR RED WINE HEINZ","G7763","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7659.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7763","HEINZ","","","","","","","{}"
"","VINEGAR SHERRY WINE SONOMA","G7752","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7752.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7752","SONOMA","","","","","","","{}"
"","VINEGAR CALIFORNIA BALSAMIC","G7754","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7754.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7754","SONOMA","","","","","","","{}"
"","VINEGAR MALT","G7746","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7657.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Vinegars/IFS-G7746","FOUR MONKS","","","","","","","{}"
