"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","WINE COOKING WHITE 11% PAUL DUPRE","G77801","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g77801.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G77801","PAUL DUPRE","","","","","","","{}"
"","WINE COOKING RED PAUL DUPRE","G77811","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g77811.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G77811","PAUL DUPRE","","","","","","","{}"
"","WINE COOKING SHERRY","G77391","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g77391.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G77391","PAUL DUPRE","","","","","","","{}"
"","WINE BURGUNDY COOKING","G70716","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70716.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G70716","PACKER","","","","","","","{}"
"","WINE MARSALA COOKING","G70714","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70714.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G70714","PACKER","","","","","","","{}"
"","WINE COOKING SAUTERNE","23636","","4/1 GAL","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-23636","ROLAND","","","","","","","{}"
"","SODA 7UP CANNED CRV INCLD","22999","","36/12 OZ","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-22999","7UP","","","","","","","{}"
"","COOKING WHITE WINE","12712","","1/PK","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12712.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-12712","PACKER","","","","","","","{}"
"","WINE COOKING SAUTERNE","G7740","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7740.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G7740","AMBROSIA","","","","","","","{}"
"","WINE MARSALA COOKING 17.5%","G7747","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7658.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G7747","PAUL DUPRE","","","","","","","{}"
"","WINE SHERRY COOKING ROLAND","G70708","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70708.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-G70708","ROLAND","","","","","","","{}"
"","WINE COOOKING SHERRY","17965","","","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-17965","","","","","","","","{}"
"","WINE MARSALA COOKING","22716","","1/GAL","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Wines/IFS-22716","PACKER","","","","","","","{}"
