"sku","pack","size","gtin","name","retail_price","content_url","image_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
4390807,5,"3 LB","","",49.49,"https://shop.sysco.com/app/product-details/opco/059/product/4390807?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=fc203c90847e0f0ef662ca494d781c9184419993","SYSCO IMPERIAL","Frozen Foods","","","","Sysco Shop","","{""description"":""Sysco Imperial Sweet Potato Waffle Fries are thick, CrissCut shaped sweet potato fries dipped in a lightly sweet, delicious waffle batter that fries up hot and crisp.\n\n• Contains five 3-pound bags per case\n• Seasoned waffle cut sweet potato fries\n• About 1 cup (84g)\n• Made with fancy fries\n• Made with Grade A potatoes\n• Deep Fry: 345-350°F (174°-177°C) for 2 1/4-2 3/4 minutes. Deep fry from frozen state. Fill basket 1/2 full\n• Use by 730 days from production date stamped on case\n• Do not drop. Handle like eggs\n• Perishable\n• Keep frozen\n• Case measures 15.875 inches long by 13.000 inches wide by 7.750 inches high\n• This item is sold exclusively to Sysco"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""French Fries"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Sysco Imperial Sweet Potato Waffle Fries are thick, CrissCut shaped sweet potato fries dipped in a lightly sweet, delicious waffle batter that fries up hot and crisp."",""packagingInformation"":""• Contains five 3-pound bags per case"",""sizeAndShapeOfProduct"":""• Seasoned waffle cut sweet potato fries"",""yieldOrServingSize"":""• About 1 cup (84g)"",""qualityAndFormat"":""• Made with fancy fries\n• Made with Grade A potatoes"",""prepCookingInstructions"":""• Deep Fry: 345-350°F (174°-177°C) for 2 1/4-2 3/4 minutes. Deep fry from frozen state. Fill basket 1/2 full"",""storageAndUsage"":""• Use by 730 days from production date stamped on case"",""handlingInstructions"":""• Do not drop. Handle like eggs\n• Perishable\n• Keep frozen"",""additionalProductInformation"":""• Case measures 15.875 inches long by 13.000 inches wide by 7.750 inches high"",""grossWeight"":17,""totalShelfLife"":730,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":730,""generalDescription"":null,""prepAndCookingInstructions"":""Deep Fry = DEEP FRY: 345-350°F (174°-177°C) for 2 1/4-2 3/4 minutes. Deep fry from frozen state. Fill basket ½ full."",""servingSuggestions"":""This item is sold exclusively to Sysco."",""length"":15.875,""width"":13,""height"":7.75,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":""French Fries"",""level 3 category"":null}"
2000186,6,"5LB","","","","https://shop.sysco.com/app/product-details/opco/059/product/2000186?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=cda5dc9a3d112bf9e344ddf7bfbbb3c503148212","SYSCO CLASSIC","Frozen Foods","","","","Sysco Shop","","{""description"":""Sysco Classic skin-on potato fries are uncoated, enabling you to add your own mix of seasonings and serve up your house signature fries. With their natural appearance, these economical fries make a great appetizer when served with dips.\n\n• Case contains six 5 pound bags\n• Each potato fry measures 3/8 inch wide by 3/8 inch high\n• Grade A line flow fries have a higher moisture content, texture will not hold like higher-quality fries \n• Packed in separate 100 percent recyclable clear polybags for immediate identification and easy-tear perforations for effortless opening\n• Deep fry from frozen at 345-350 F for about 3.25-3.75 minutes, filling fryer basket half full \n• Serve as a side dish or appetizer\n• Store frozen at -15 to 0 F until ready for use, with a shelf life of 540 days from date of manufacture\n• Manufactured on date shown as plant, date, line, time (ex. 001 APR 23 17 42 02:55) \n• Case dimensions 16 inches long by 13 inches wide by 9.1 inches high\n• Priced low for buyers seeking an inexpensive product"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""French Fries"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Sysco Classic skin-on potato fries are uncoated, enabling you to add your own mix of seasonings and serve up your house signature fries. With their natural appearance, these economical fries make a great appetizer when served with dips."",""packagingInformation"":""• Case contains six 5 pound bags"",""sizeAndShapeOfProduct"":""• Each potato fry measures 3/8 inch wide by 3/8 inch high"",""yieldOrServingSize"":null,""qualityAndFormat"":""• Grade A line flow fries have a higher moisture content, texture will not hold like higher-quality fries \n• Packed in separate 100 percent recyclable clear polybags for immediate identification and easy-tear perforations for effortless opening"",""prepCookingInstructions"":""• Deep fry from frozen at 345-350 F for about 3.25-3.75 minutes, filling fryer basket half full \n• Serve as a side dish or appetizer"",""storageAndUsage"":""• Store frozen at -15 to 0 F until ready for use, with a shelf life of 540 days from date of manufacture"",""handlingInstructions"":null,""additionalProductInformation"":""• Manufactured on date shown as plant, date, line, time (ex. 001 APR 23 17 42 02:55) \n• Case dimensions 16 inches long by 13 inches wide by 9.1 inches high"",""grossWeight"":32,""totalShelfLife"":540,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":540,""generalDescription"":null,""prepAndCookingInstructions"":""Deep Fry = FOLLOW INSTRUCTIONS. DO NOT OVER COOK. DEEP FRY: 345°F - 350°F for 3 1/4 TO 3 3/4 minutes. Fill fryer basket half full."",""servingSuggestions"":""The #1 side dish, also great as an appetizer or as part of your own signature menu items."",""length"":16,""width"":13,""height"":9.125,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":""French Fries"",""level 3 category"":null}"
2957181,1,"15 LB","","",104.45,"https://shop.sysco.com/app/product-details/opco/059/product/2957181?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=0befb95cb2061861379825f69144ca00b31ca6e5","CASA SOLANA CLASSIC","Frozen Foods","","","","Sysco Shop","","{""description"":""Sysco Casa Solana Santa Fe chicken egg rolls add southwestern flavor appeal to your menu. These egg rolls are ready to cook, allowing you to save time on chopping and dicing while lowering labor costs in your kitchen.\n\n• Contain one 15 lb. blue polybag liner per labeled master case\n• Uniform egg rolls\n• About 40 two-piece servings\n• Chicken, corn, black beans and chopped peppers rolled into a flour tortilla\n• Deep fry or bake in oven\n• Not designed for microwave preparation\n• Serve as a snack, side or appetizer\n• Keep frozen at or below 0°F and unopened\n• Best if used within 270 days from date of manufacture\n• Do not allow product to thaw; cook from frozen\n• Manufacture On date printed in MMDDYY YMMDD810L format\n• Case dimension 14.10\"" L x 10.60\"" W x 7.40\"" H\n• Great as a snack, side or appetizer"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""Appetizers"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Sysco Casa Solana Santa Fe chicken egg rolls add southwestern flavor appeal to your menu. These egg rolls are ready to cook, allowing you to save time on chopping and dicing while lowering labor costs in your kitchen."",""packagingInformation"":""• Contain one 15 lb. blue polybag liner per labeled master case"",""sizeAndShapeOfProduct"":""• Uniform egg rolls"",""yieldOrServingSize"":""• About 40 two-piece servings"",""qualityAndFormat"":""• Chicken, corn, black beans and chopped peppers rolled into a flour tortilla"",""prepCookingInstructions"":""• Deep fry or bake in oven\n• Not designed for microwave preparation\n• Serve as a snack, side or appetizer"",""storageAndUsage"":""• Keep frozen at or below 0°F and unopened\n• Best if used within 270 days from date of manufacture"",""handlingInstructions"":""• Do not allow product to thaw; cook from frozen"",""additionalProductInformation"":""• Manufacture On date printed in MMDDYY YMMDD810L format\n• Case dimension 14.10\"" L x 10.60\"" W x 7.40\"" H"",""grossWeight"":17,""totalShelfLife"":270,""serving"":""Multi-Serve"",""totalShelfLife.1"":270,""generalDescription"":null,""prepAndCookingInstructions"":null,""servingSuggestions"":null,""length"":14.125,""width"":10.625,""height"":7.375,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":""Appetizers"",""level 3 category"":null}"
1999016,6,"5LB","","",53.9,"https://shop.sysco.com/app/product-details/opco/059/product/1999016?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=c458cc493adc3a809c14a958e8e2d8c5cc520f35","SYSCO IMPERIAL","Frozen Foods","","","","Sysco Shop","","{""description"":""Sysco Imperial seasoned 8-cut wedge fries are battered for a savory flavor and have an excellent hold time. Best served with fried food and protien-rich entrees, these large wedges offer great plate presentations and a filling side dish for your guests.\n\n• Contains six 5 lb. clear poly bags in a standard one-piece case\n• 8 cut wedge\n• Serving Size: 3 oz. (84g/about 6 pieces)\n• Servings per container are about 960\n• Made from Grade A potatoes\n• Deep fry at 345-350°F  for 3 1/2 to 4 minutes, or bake in a convection oven at 400°F  for 12 to 15 minutes, or bake in the standard oven at 400°F for 25 to 30 minutes\n• Serve with creamy ranch or blue cheese dips as an appetizer or with protein entrees\n• Store at -10°F to 0°F \n• Shelf life: Best when used within 540 days of manufacture\n• Keep frozen until ready to use \n• Do not drop \n• Handle with care\n• Date of manufacture printed in PPP (Plant)_MMM (Month)_DD (Day)_YY (Year)_LL (Line)_HH:MM (Military Time)\n• Case dimension 16.000\"" L x 13.000\"" W x 9.500\"" H\n• Savory flavor and rustic appeal complements everything from fried chicken to BBQ\n• Coating provides for excellent hold time"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""French Fries"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Sysco Imperial seasoned 8-cut wedge fries are battered for a savory flavor and have an excellent hold time. Best served with fried food and protien-rich entrees, these large wedges offer great plate presentations and a filling side dish for your guests."",""packagingInformation"":""• Contains six 5 lb. clear poly bags in a standard one-piece case"",""sizeAndShapeOfProduct"":""• 8 cut wedge"",""yieldOrServingSize"":""• Serving Size: 3 oz. (84g/about 6 pieces)\n• Servings per container are about 960"",""qualityAndFormat"":""• Made from Grade A potatoes"",""prepCookingInstructions"":""• Deep fry at 345-350°F  for 3 1/2 to 4 minutes, or bake in a convection oven at 400°F  for 12 to 15 minutes, or bake in the standard oven at 400°F for 25 to 30 minutes\n• Serve with creamy ranch or blue cheese dips as an appetizer or with protein entrees"",""storageAndUsage"":""• Store at -10°F to 0°F \n• Shelf life: Best when used within 540 days of manufacture"",""handlingInstructions"":""• Keep frozen until ready to use \n• Do not drop \n• Handle with care"",""additionalProductInformation"":""• Date of manufacture printed in PPP (Plant)_MMM (Month)_DD (Day)_YY (Year)_LL (Line)_HH:MM (Military Time)\n• Case dimension 16.000\"" L x 13.000\"" W x 9.500\"" H"",""grossWeight"":32,""totalShelfLife"":540,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":540,""generalDescription"":null,""prepAndCookingInstructions"":""Deep Fry = FOLLOW INSTRUCTIONS. DO NOT OVER COOK. DEEP FRY: 345°F-350°F for 3 1/2 to 4 minutes. Fill fryer basket half full. CONVECTION OVEN: 400°F for 12-15 minutes. Arrange fries in single layer on sheet pans. STANDARD OVEN: 400°F for 25-30 minutes. Arrange fries in single layer on sheet pans."",""servingSuggestions"":""Perfect side to any burger, chicken, steak or fish entree. Pair with any creamy dipping sauce like ranch or blue cheese dressing for a flavorful appetizer."",""length"":16,""width"":13,""height"":9.5,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":""French Fries"",""level 3 category"":null}"
2256998,1,"3 GAL","","",34.65,"https://shop.sysco.com/app/product-details/opco/059/product/2256998?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=45461b70fbc44d3602f326ac32441df21ca10a4f","WHOLESOME FARMS IMPERIAL","Frozen Foods","","","","Sysco Shop","","{""description"":""Wholesome Farms Imperial brand vanilla bean gives you premium vanilla flavor with extra vanilla bean punch\n\n• Full case comes with one unit\n• One 3 gallon tub of ice cream\n• 2/3 Cup (87g)\n• Ready to eat\n• No preparation necessary - Ready to eat\n• Keep Frozen\n• Keep Frozen\n• 10.28H x 9.79W x 9.79D\n• With 12% butterfat, Wholesome Farms Imperial Ice Cream has a rich, creamy taste.\n• Feel good about serving Wholesome Farms Imperial ice cream as it is made with hormone-free, fresh sweet milk.\n• Made from high-quality ingredients, this premium ice cream is available in vanilla, vanilla bean, and French vanilla flavors and has a smooth, creamy texture, and great mouthfeel.\n• When using a #6 scoop, each 3-gallon round tub contains 72 servings and makes it easy to manage inventory.\n• Wholesome Farms ice creams are sourced from dairies where cows are treated with the highest level of animal care and adhere to our strict policies for animal welfare.\n• Ice Cream Cookie Sandwich - Vanilla ice cream sandwiched between two freshly baked chocolate macadamia nut cookies.\n• Deconstructed Ice Cream Cone - Smooth creamy vanilla ice cream garnished with fresh fruit and served with a homemade waffle cone on the side."",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""Ice Cream"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Wholesome Farms Imperial brand vanilla bean gives you premium vanilla flavor with extra vanilla bean punch"",""packagingInformation"":""• Full case comes with one unit"",""sizeAndShapeOfProduct"":""• One 3 gallon tub of ice cream"",""yieldOrServingSize"":""• 2/3 Cup (87g)"",""qualityAndFormat"":""• Ready to eat"",""prepCookingInstructions"":""• No preparation necessary - Ready to eat"",""storageAndUsage"":""• Keep Frozen"",""handlingInstructions"":""• Keep Frozen"",""additionalProductInformation"":""• 10.28H x 9.79W x 9.79D"",""grossWeight"":14.191,""totalShelfLife"":365,""serving"":""Multi-Serve"",""totalShelfLife.1"":365,""generalDescription"":null,""prepAndCookingInstructions"":null,""servingSuggestions"":null,""length"":9.79,""width"":9.79,""height"":10.28,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":""Ice Cream"",""level 3 category"":null}"
2251551,72,"4 OZ","","",66.95,"https://shop.sysco.com/app/product-details/opco/059/product/2251551?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=d462d1a12198e7dbfe12bf2a973ee7e3745a6f72","CASA SOLANA CLASSIC","Frozen Foods","","","","Sysco Shop","","{""description"":""BURRITO BEAN BEEF RED CHILI"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""Frozen Entrées"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Casa Solana Classic beef, bean and red chili burrito by Sysco is a fully cooked, frozen food product composed of ground beef, whole pinto beans, a vegetable protein filling and 100% real cheese rolled in a flour tortilla. Bake, microwave or deep fry these spicy burritos for quick and easy preparation."",""packagingInformation"":""• 72 4-ounce burritos per case"",""sizeAndShapeOfProduct"":""• Printed white case contains 1 clear poly bag"",""yieldOrServingSize"":null,""qualityAndFormat"":null,""prepCookingInstructions"":""• Ready to eat or heat\n• Heating times may vary"",""storageAndUsage"":""• Store for no longer than 365 days after production\n• Freeze at temperatures from -10 to 0 F"",""handlingInstructions"":""• Heat from frozen"",""additionalProductInformation"":""• Production date shown as MM DD YY\n• Case dimensions 19.6 inches long by 11.8 inches high by 5.4 inches wide"",""grossWeight"":19.4,""totalShelfLife"":365,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":365,""generalDescription"":null,""prepAndCookingInstructions"":""Bake = Product is RTE, however can be heated with the following directions: Preparation Type: Heating Instructions Deep Fryer Instructions: Based on 3 items per basket. Preheat fryer 350°F / 8 - 10 min or until hot. Microwave Instructions: Based on one item. High Power / 1:30 – 2:00 min or until hot. Conventional Oven Instructions: Based on 1 full sheet tray or about 36 items. Preheat oven to 350°F / 30 – 35 min or until hot. Convection Oven Instructions: Preheat oven to 350°F / 15 - 20 min or until hot. Preparation Notes: For best results heat according to times given below FROM FROZEN. It is not recommended to heat from thawed. Since equipment may vary, heating times may require adjustment."",""servingSuggestions"":""Information Forthcoming"",""length"":19.562,""width"":11.812,""height"":5.375,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":null,""level 3 category"":null}"
9459934,6,"3 LB","","",75.99,"https://shop.sysco.com/app/product-details/opco/059/product/9459934?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=7c620aa671fbd92a5c6ded4178273becaf97b2de","SYSCO IMPERIAL","Frozen Foods","","","","Sysco Shop","","{""description"":""Sysco Imperial frozen battered cauliflower is made with tender florets and a savory coating for a unique appetizer or side ideal for pubs, restaurants and hotels. The cauliflower comes partially pre-fried for quicker preparation and cooks to a golden color for good table presentation.\n\n• Contains six 3 lb. printed polybags per case\n• Natural shape battered cauliflower\n• 8 pieces per serving, approximately 16 servings per bag\n• Batter contains black pepper flakes \n• 43-45 percent coating percentage\n• Deep fry 2 to 2.50 minutes at 350°F or bake in convection or conventional oven \n• Do not microwave\n• Keep frozen at or below 0°F and unopened\n• Best if used within 365 days from date of manufacture\n• Do not allow product to thaw; cook from frozen\n• Manufactured On date in MMDDYY PYYMMDD_HH:MM_LL format\n• Case dimension 15.90\"" L x 12.40\"" W x 8.50\"" H"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""Appetizers"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Sysco Imperial frozen battered cauliflower is made with tender florets and a savory coating for a unique appetizer or side ideal for pubs, restaurants and hotels. The cauliflower comes partially pre-fried for quicker preparation and cooks to a golden color for good table presentation."",""packagingInformation"":""• Contains six 3 lb. printed polybags per case"",""sizeAndShapeOfProduct"":""• Natural shape battered cauliflower"",""yieldOrServingSize"":""• 8 pieces per serving, approximately 16 servings per bag"",""qualityAndFormat"":""• Batter contains black pepper flakes \n• 43-45 percent coating percentage"",""prepCookingInstructions"":""• Deep fry 2 to 2.50 minutes at 350°F or bake in convection or conventional oven \n• Do not microwave"",""storageAndUsage"":""• Keep frozen at or below 0°F and unopened\n• Best if used within 365 days from date of manufacture"",""handlingInstructions"":""• Do not allow product to thaw; cook from frozen"",""additionalProductInformation"":""• Manufactured On date in MMDDYY PYYMMDD_HH:MM_LL format\n• Case dimension 15.90\"" L x 12.40\"" W x 8.50\"" H"",""grossWeight"":19.54,""totalShelfLife"":365,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":365,""generalDescription"":null,""prepAndCookingInstructions"":""DEEP_FRYING=FRY FROZEN PRODUCT AT 350??F FOR 2 TO 2-1/2 MINUTES.;BAKING=PREHEAT OVEN TO 450??F. PLACE FROZEN PRODUCT IN A SINGLE LAYER ON A SHEET PAN AND BAKE FOR 9 MINUTES ON EACH SIDE.;=SAME AS ABOVE, BUT FOR 6 MINUTES ON EACH SIDE."",""servingSuggestions"":""8 pieces"",""length"":15.875,""width"":12.375,""height"":8.5,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":null,""level 3 category"":null}"
1591015,6,"4 LB","","",159.95,"https://shop.sysco.com/app/product-details/opco/059/product/1591015?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=f731180f1bcaa376b4786150e4ecece0a8a3c72c","SYSCO IMPERIAL","Frozen Foods","","","","Sysco Shop","","{""description"":""Sysco Imperial Italian breaded primo mozzarella sticks are great for a variety of purposes, giving you greater menu variety. These sticks are pre-breaded and ready to cook, cutting down on preparation time and lowering your labor costs.\n\n• Contains six 4-pound printed polybags per printed master case\n• 3\"" stick\n• 21 3-piece servings per 4lb bag\n• 126 3-piece servings per case\n• Made from premium ingredients\n• Cook from frozen. Deep fry from frozen at 350°F for 2 minutes\n• Not designed for microwave preparation\n• Great as an appetizer, side, or snack\n• Store at -10°F to 0°F\n• Do not thaw\n• Manufactured On date printed in MMDDYY PYYMMDD_HH:MM_LL format\n• Case dimension 16.00\"" L x 12.00\"" W x 10.40\"" H"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""Appetizers"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Sysco Imperial Italian breaded primo mozzarella sticks are great for a variety of purposes, giving you greater menu variety. These sticks are pre-breaded and ready to cook, cutting down on preparation time and lowering your labor costs."",""packagingInformation"":""• Contains six 4-pound printed polybags per printed master case"",""sizeAndShapeOfProduct"":""• 3\"" stick"",""yieldOrServingSize"":""• 21 3-piece servings per 4lb bag\n• 126 3-piece servings per case"",""qualityAndFormat"":""• Made from premium ingredients"",""prepCookingInstructions"":""• Cook from frozen. Deep fry from frozen at 350°F for 2 minutes\n• Not designed for microwave preparation\n• Great as an appetizer, side, or snack"",""storageAndUsage"":""• Store at -10°F to 0°F"",""handlingInstructions"":""• Do not thaw"",""additionalProductInformation"":""• Manufactured On date printed in MMDDYY PYYMMDD_HH:MM_LL format\n• Case dimension 16.00\"" L x 12.00\"" W x 10.40\"" H"",""grossWeight"":25.7,""totalShelfLife"":365,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":365,""generalDescription"":null,""prepAndCookingInstructions"":""DEEP_FRYING=FRY FROZEN PRODUCT AT 350??F FOR 2 MINUTES."",""servingSuggestions"":""1 piece"",""length"":16,""width"":12,""height"":10.375,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":null,""level 3 category"":null}"
2979989,6,"2.5LB","","",48.75,"https://shop.sysco.com/app/product-details/opco/059/product/2979989?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=63bce26ebd08d06c9b1a69da3093b55de1bd5142","SYSCO IMPERIAL","Frozen Foods","","","","Sysco Shop","","{""description"":""Sysco Imperial WaveLengths sweet potato fries combine a tender sweet potato taste on the inside with a seasoned, extra crispy, ridged outside for a unique and flavorful menu offering. The fries can be deep fried or baked to allow flexibility in preparation.\n\n• Contains six 2.5-pound air-perforated, clear coextruded poly bags\n• 3/8 x 3/4 inch ridge cut / ripple cut extra long fancy fry\n• 80 3 ounce servings\n• Made from Grade A sweet potatoes\n• Deep fry at 350°F for 3 to 4 minutes, or bake in 425°F convection oven for 8 to 12 minutes\n• Cook from a frozen state\n• Store at -10°F to 0°F\n• Best when used within 540 days of manufacture\n• Do not thaw; Cook from frozen\n• Date of manufacture printed in MDDMY PLANT LINE TIME format\n• Case dimension 13.250\"" L x 12.000\"" W x 8.250\"" H\n• Ideal for variety of menu styles as a side, appetizer or snack\n• Ideal for variety of menu styles as a side, appetizer or snack"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""French Fries"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Sysco Imperial WaveLengths sweet potato fries combine a tender sweet potato taste on the inside with a seasoned, extra crispy, ridged outside for a unique and flavorful menu offering. The fries can be deep fried or baked to allow flexibility in preparation."",""packagingInformation"":""• Contains six 2.5-pound air-perforated, clear coextruded poly bags"",""sizeAndShapeOfProduct"":""• 3/8 x 3/4 inch ridge cut / ripple cut extra long fancy fry"",""yieldOrServingSize"":""• 80 3 ounce servings"",""qualityAndFormat"":""• Made from Grade A sweet potatoes"",""prepCookingInstructions"":""• Deep fry at 350°F for 3 to 4 minutes, or bake in 425°F convection oven for 8 to 12 minutes\n• Cook from a frozen state"",""storageAndUsage"":""• Store at -10°F to 0°F\n• Best when used within 540 days of manufacture"",""handlingInstructions"":""• Do not thaw; Cook from frozen"",""additionalProductInformation"":""• Date of manufacture printed in MDDMY PLANT LINE TIME format\n• Case dimension 13.250\"" L x 12.000\"" W x 8.250\"" H"",""grossWeight"":15.9,""totalShelfLife"":540,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":540,""generalDescription"":null,""prepAndCookingInstructions"":null,""servingSuggestions"":null,""length"":13.25,""width"":12,""height"":7.75,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":""French Fries"",""level 3 category"":null}"
7087725,6,"64 OZ","","",43.99,"https://shop.sysco.com/app/product-details/opco/059/product/7087725?seller_id=USBL","https://mediacdn.sysco.com/images/rendition?id=2e82a21f783977c7df933923bdab493e4b8e543a","WHOLESOME FARMS CLASSIC","Frozen Foods","","","","Sysco Shop","","{""description"":""Wholesome Farms 5% Chocolate Mix provides a dessert mix option that offers the right levels of creaminess and mouthfeel with that real chocolate taste.\n\n• Contains six 64-ounce printed gable top cartons in a standard one piece pre-printed white shipping  case.\n• Unit Carton measures 3.812\""\""L x 3.812\""\""W x 9.437\""\""H\n• Unit carton weight - net-4.620 lb/Gross - 4.820 lbs\n• Serving size-2/3 cup as prepared with 50% overrun  \n• 18 servings per units\n• Net fill - Unit 1.89 L/Case - 3 gal (11.35 L)\n• Natural Flavored Chocolate Soft Serve Mix\n• 5% Milkfat\n• Ultra-Pasteurized\n• 64-ounce Gable Top Carton\n• Pour Into Ice Cream Machine\n• Perishable\n• Keep Refrigerated\n• Date of manufacture printed in MM/DD/YYYY_PLANT_LINE#_TIME format\n• Shipping case dimension - 12\""\"" L x 8.25\""\"" W x 10\""\""H"",""product_variants"":null,""is_catch_weight"":null,""average_case_weight"":null,""manufacturer_sku"":null,""ordering_unit"":null,""is_broken_case"":null,""avg_case_weight"":null,""category"":""Frozen Foods"",""sub-category"":""Ice Cream"",""product-category-style"":null,""supplier_name"":null,""country_of_origin"":null,""productDescriptor"":""Wholesome Farms 5% Chocolate Mix provides a dessert mix option that offers the right levels of creaminess and mouthfeel with that real chocolate taste."",""packagingInformation"":""• Contains six 64-ounce printed gable top cartons in a standard one piece pre-printed white shipping  case."",""sizeAndShapeOfProduct"":""• Unit Carton measures 3.812\""\""L x 3.812\""\""W x 9.437\""\""H\n• Unit carton weight - net-4.620 lb/Gross - 4.820 lbs"",""yieldOrServingSize"":""• Serving size-2/3 cup as prepared with 50% overrun  \n• 18 servings per units\n• Net fill - Unit 1.89 L/Case - 3 gal (11.35 L)"",""qualityAndFormat"":""• Natural Flavored Chocolate Soft Serve Mix\n• 5% Milkfat\n• Ultra-Pasteurized\n• 64-ounce Gable Top Carton"",""prepCookingInstructions"":""• Pour Into Ice Cream Machine"",""storageAndUsage"":""• Perishable"",""handlingInstructions"":""• Keep Refrigerated"",""additionalProductInformation"":""• Date of manufacture printed in MM/DD/YYYY_PLANT_LINE#_TIME format\n• Shipping case dimension - 12\""\"" L x 8.25\""\"" W x 10\""\""H"",""grossWeight"":29,""totalShelfLife"":90,""serving"":""Multi-Serve Each"",""totalShelfLife.1"":90,""generalDescription"":null,""prepAndCookingInstructions"":null,""servingSuggestions"":null,""length"":12,""width"":8,""height"":9.75,""group"":""Food"",""Level 1 category"":""Frozen Foods"",""level 2 category"":""Ice Cream"",""level 3 category"":null}"
